"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q1";"SOT-23W";2;"BSS138";;;
2;"R2,R10,R4,R1,R3,R7,R8";"R_0805_2012Metric";7;"R10K";;;
3;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"CONN_01X07";;;
4;"U1";"ESP32-WROOM-32E";1;"ESP32-WROOM";;;
5;"R9,R5";"R_0805_2012Metric";2;"R100";;;
6;"H2,H3";"MountingHole_2.5mm";2;"MountingHole";;;
7;"LED1";"LED_0805_2012Metric";1;"WIFI status";;;
8;"J5";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Odd_Even";;;
9;"J4";"TC2020-MCP-NL";1;"TC2030-MCP-NL";;;
10;"SW1";"TS-1187";1;"Fail safe";;;
11;"C6,C3";"C_0805_2012Metric";2;"10uF";;;
12;"C2";"C_0805_2012Metric";1;"1uF";;;
13;"C4";"CP_EIA-7343-31_Kemet-D";1;"470uF";;;
14;"C5";"C_0805_2012Metric";1;"0.1uF";;;
15;"D2";"D_SOD-123";1;"D_Schottky";;;
16;"R11";"R_0805_2012Metric";1;"R1K";;;
17;"H1";"Pin_D1.0mm_L10.0mm";1;"MountingHole_Pad";;;
18;"LED2";"LED_0805_2012Metric";1;"itho status";;;
19;"SW2";"TS-1187";1;"Reset";;;
20;"U3";"Mornsun 780xMT";1;"780xMT";;;
21;"J2";"PinSocket_2x04_P2.54mm_Vertical";1;"conn";;;
22;"J3";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
23;"U4";"E70-433MT14S";1;"~";;;
